date,count,raw count,adjusted count,remarks,Source
1969-10-01,2,,,,https://web.archive.org/web/20141025054929/http://www.zakon.org/robert/internet/timeline/
1969-11-01,3,,,,https://web.archive.org/web/20141025054929/http://www.zakon.org/robert/internet/timeline/
1969-12-15,4,,,,http://www.faqs.org/rfcs/rfc4.html
1971-01-01,23,,,,http://www.netvalley.com/archives/mirrors/davemarsh-timeline-1.htm
1972-01-01,40,,,,http://www.netvalley.com/archives/mirrors/davemarsh-timeline-1.htm
1977-01-01,100,,,,http://www.netvalley.com/archives/mirrors/davemarsh-timeline-1.htm
1981-08-01,213,213,N/A,host table,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1982-05-01,235,235,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1983-08-01,562,562,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1984-10-01,1024,1024,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1985-10-01,1961,1961,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1986-02-01,2308,2308,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1986-11-01,5089,5089,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1987-12-01,28174,28174,N/A,old domain survey,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1988-07-01,33000,33000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1988-10-01,56000,56000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1989-01-01,80000,80000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1989-07-01,130000,130000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1989-10-01,159000,159000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1990-10-01,313000,313000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1991-01-01,376000,376000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1991-07-01,535000,535000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1991-10-01,617000,617000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1992-01-01,727000,727000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1992-04-01,890000,890000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1992-07-01,992000,992000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1992-10-01,1136000,1136000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1993-01-01,1313000,1313000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1993-04-01,1486000,1486000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1993-07-01,1776000,1776000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1993-10-01,2056000,2056000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1994-01-01,2217000,2217000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1994-07-01,3212000,3212000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1994-10-01,3864000,3864000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1995-01-01,5846000,4852000,5846000,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1995-07-01,8200000,6642000,8200000,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1996-01-01,14352000,9472000,14352000,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1996-07-01,16729000,12881000,16729000,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1997-01-01,21819000,16146000,21819000,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1997-07-01,26053000,19540000,26053000,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1998-01-01,29670000,29670000,N/A,new domain survey,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1998-07-01,36739000,36739000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1999-01-01,43230000,43230000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
1999-07-01,56218000,56218000,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
2000-01-01,72398092,72398092,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
2000-07-01,93047785,93047785,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
2001-01-01,109574429,109574429,N/A,,https://web.archive.org/web/20010330090639/http://www.isc.org/ds/host-count-history.html
2001-07-01,125888197,,,,https://web.archive.org/web/20141027015722/http://ftp.isc.org/www/survey/reports/2014/07/
2002-01-01,147344723,,,,https://web.archive.org/web/20141027015722/http://ftp.isc.org/www/survey/reports/2014/07/
2002-07-01,162128493,,,,https://web.archive.org/web/20141027015722/http://ftp.isc.org/www/survey/reports/2014/07/
2003-01-01,171638297,,,,https://web.archive.org/web/20141027015722/http://ftp.isc.org/www/survey/reports/2014/07/
2004-01-01,233101481,,,,https://web.archive.org/web/20141027015722/http://ftp.isc.org/www/survey/reports/2014/07/
2004-07-01,285139107,,,,https://web.archive.org/web/20141027015722/http://ftp.isc.org/www/survey/reports/2014/07/
2005-01-01,317646084,,,,https://web.archive.org/web/20141027015722/http://ftp.isc.org/www/survey/reports/2014/07/
2005-07-01,353284187,,,,https://web.archive.org/web/20141027015722/http://ftp.isc.org/www/survey/reports/2014/07/
2006-01-01,394991609,,,,https://web.archive.org/web/20141027015722/http://ftp.isc.org/www/survey/reports/2014/07/
